sampno,hh_vmt_fee_static,hh_total_vmt,hh_income_cat,hh_urbrur,hh_income_group
40581318,24.739440000000002,1124.52,10,1,high
40581513,6.577056000000001,274.044,7,1,mid_low
40588769,1.82928,76.22,3,1,low
40592119,10.5412,527.06,10,1,high
40592825,30.093696,1253.904,6,1,mid_low
40600022,5.705184,237.716,7,1,mid_low
40600248,1.713216,71.384,11,1,high
40600901,6.50496,271.03999999999996,8,1,mid_high
40601945,0.708544,44.284,7,1,mid_low
40602190,2.1455599999999997,107.27799999999999,6,1,mid_low
40606081,3.977856,165.744,11,1,high
40606446,0.970848,40.452000000000005,6,1,mid_low
40606751,0.43833600000000006,18.264000000000003,10,1,high
40613629,10.842400000000001,542.12,9,1,mid_high
40617799,71.09308800000001,2962.212,10,1,high
40617820,111.71292000000001,5077.860000000001,11,1,high
40625735,1.1802240000000002,49.176,4,1,low
40627392,9.641952,401.748,11,1,high
40627509,4.571904000000001,285.744,10,1,high
40627792,18.001920000000002,750.08,11,1,high
40629837,2.7442320000000002,114.34299999999999,7,1,mid_low
40629983,13.10484,655.242,10,1,high
40632120,28.331856000000002,1180.4940000000001,11,1,high
40632380,17.744832,739.3679999999999,10,1,high
40632381,0.6974880000000001,29.062,11,2,high
40632529,31.350080000000002,1567.504,11,1,high
40633395,51.614976000000006,2419.452,9,1,mid_high
40636308,3.165,158.25,8,1,mid_high
40637721,24.11264,1205.632,9,1,mid_high
40639875,12.614784,591.318,8,1,mid_high
40641505,9.23104,461.552,7,1,mid_low
40649073,1.741824,72.576,8,1,mid_high
40649780,19.53232,976.616,10,1,high
40650088,5.65824,353.64,10,1,high
40650677,0.470656,29.416,11,1,high
40652691,10.954152,456.423,11,1,high
40652693,2.6073120000000003,108.638,3,1,low
40656815,1.243968,51.832,3,1,low
40656872,1.20288,50.12,7,1,mid_low
40657252,0.89376,37.239999999999995,7,1,mid_low
40659219,2.2988160000000004,95.784,6,1,mid_low
40660542,0.39679200000000003,16.533,3,1,low
40662952,1.0707119999999999,59.483999999999995,10,1,high
40663483,3.366792,187.04399999999998,7,1,mid_low
40666229,5.536128,230.672,8,1,mid_high
40666294,9.82152,491.076,10,1,high
40666605,5.996016,333.11199999999997,8,2,mid_high
40667364,39.337920000000004,1821.2,2,1,low
40670449,9.747539999999999,443.07,6,1,mid_low
40674303,11.921472000000001,496.728,7,1,mid_low
40674538,0.550656,34.416000000000004,6,1,mid_low
40675274,1.407168,58.632000000000005,10,1,high
40675594,2.19892,109.946,11,1,high
40677649,213.351936,13334.496,10,2,high
40678316,2.54936,127.46799999999999,8,1,mid_high
40682660,4.356744,181.53099999999998,5,1,mid_low
40683400,4.06624,254.14,11,1,high
40683629,7.302960000000001,456.435,11,1,high
40684719,1.79104,111.94,6,1,mid_low
40687270,0.837472,52.342,8,1,mid_high
40687625,0.3312,13.799999999999999,9,1,mid_high
40687807,8.3772,418.86,11,1,high
40688575,0.426528,17.772,6,1,mid_low
40689131,22.22928,1389.33,10,1,high
40691988,0.042816,1.784,9,1,mid_high
40695318,0.94248,47.124,11,1,high
40695372,3.880608,161.692,11,1,high
40697252,33.956864,1591.728,7,1,mid_low
40702960,11.474208,478.092,6,1,mid_low
40703303,9.380640000000001,390.86,6,1,mid_low
40703509,7.734096,322.254,7,1,mid_low
40704854,25.697472,1070.728,7,1,mid_low
40706008,24.611136000000002,1118.688,8,1,mid_high
40711276,9.152352,416.016,11,1,high
40712288,3.4642560000000002,144.344,11,1,high
40720422,26.377344,1099.056,7,1,mid_low
40723481,9.911616,412.984,11,1,high
40725013,8.228864,514.304,11,1,high
40726691,3.06576,170.32,11,1,high
40726928,41.18004,2059.002,6,1,mid_low
40727568,95.72832000000001,3988.68,11,1,high
40732132,7.223255999999999,300.969,8,1,mid_high
40733716,31.491584,1476.168,10,1,high
40734941,23.88876,1279.755,3,1,low
40736648,2.22354,111.17699999999999,8,1,mid_high
40744568,11.165056,697.816,7,1,mid_low
40745242,1.665472,104.092,8,1,mid_high
40747542,14.551680000000001,606.32,6,1,mid_low
40748321,3.23924,161.962,1,2,low
40752177,10.467360000000001,654.21,6,1,mid_low
40755311,1.792872,74.703,5,1,mid_low
40755707,5.5064,275.32,11,1,high
40759003,0.12481600000000001,7.801,8,1,mid_high
40760830,22.848672,1038.576,11,1,high
40765267,1.690496,105.656,11,1,high
40766008,154.984192,7044.736,10,1,high
40766308,7.0952,380.1,11,1,high
40768068,1.054144,65.884,10,1,high
40768498,0.382536,15.939,8,1,mid_high
40770824,30.435568,1601.872,3,1,low
40771877,0.625032,26.043,1,1,low
40772699,22.279104,928.296,10,1,high
40773868,2.757696,172.356,11,1,high
